1503298859000,6.7;7.3;8
1503302459000,6.7;7.4;8
1503306059000,6.7;7.4;8
1503309659000,6.7;7.4;8
1503313259000,6.7;7.4;8
1503316859000,6.7;7.4;8
1503320458000,6.7;7.4;8
1503324059000,6.7;7.4;8
1503327659000,6.7;7.4;8
1503331259000,6.7;7.4;8
1503334859000,6.7;7.3;8
1503338459000,6.7;7.1;8
1503342059000,6.7;7.1;8
1503345658000,6.7;7.2;8
1503349259000,6.7;7.2;8
1503352859000,6.7;7.2;8
1503356459000,6.7;7.2;8
1503360071000,6.7;7.2;8
1503363659000,6.7;7.3;8
1503367259000,6.7;7.3;8
1503370859000,6.7;7.3;8
1503374459000,6.7;7.3;8
1503378059000,6.7;7.3;8
1503381659000,6.7;7.3;8
1503385258000,6.7;7.4;8
1503388859000,6.7;7.4;8
1503392459000,6.7;7.4;8
1503396059000,6.7;7.4;8
1503399659000,6.7;7.4;8
1503403259000,6.7;7.4;8
1503406859000,6.7;7.4;8
1503410459000,6.7;7.4;8
1503414059000,6.7;7.4;8
1503417662000,6.7;7.4;8
1503421259000,6.7;7.4;8
1503424865000,6.7;7.3;8
1503428459000,6.7;7.2;8
1503432059000,6.7;7.2;8
1503435659000,6.7;7.3;8
1503439259000,6.7;7.3;8
1503442859000,6.7;7.4;8
1503446459000,6.7;7.3;8
1503450059000,6.7;7.3;8
1503453659000,6.7;7.1;8
1503457259000,6.7;7.0;8
1503460859000,6.7;7.0;8
1503464466000,6.7;7.1;8
1503468059000,6.7;7.1;8
1503471659000,6.7;7.2;8
1503475259000,6.7;7.2;8
1503478859000,6.7;7.2;8
1503482459000,6.7;7.2;8
1503486059000,6.7;7.2;8
1503489659000,6.7;7.3;8
1503493259000,6.7;7.3;8
1503496859000,6.7;7.3;8
1503500459000,6.7;7.3;8
1503504059000,6.7;7.2;8
1503507659000,6.7;7.1;8
1503511259000,6.7;7.1;8
1503514843000,6.7;7.1;8
1503518443000,6.7;7.2;8
1503522044000,6.7;7.2;8
1503525643000,6.7;7.1;8
1503529244000,6.7;7.1;8
1503532843000,6.7;7.1;8
1503536443000,6.7;7.1;8
1503540043000,6.7;7.2;8
1503543643000,6.7;7.2;8
1503547243000,6.7;7.2;8
1503550843000,6.7;7.2;8
1503554443000,6.7;7.3;8
1503558043000,6.7;7.3;8
1503561643000,6.7;7.3;8
1503565243000,6.7;7.3;8
1503568843000,6.7;7.4;8
1503572443000,6.7;7.4;8
1503576044000,6.7;7.4;8
1503579643000,6.7;7.4;8
1503583243000,6.7;7.4;8
1503586843000,6.7;7.3;8
1503590443000,6.7;7.3;8
1503594043000,6.7;7.2;8
1503597644000,6.7;7.2;8
1503601213000,6.7;7.3;7.6
1503604813000,6.7;7.3;7.6
1503608413000,6.7;7.3;7.6
1503612013000,6.7;7.0;7.6
1503615613000,6.7;7.0;7.6
1503619213000,6.7;6.9;7.6
1503622813000,6.7;7.0;7.6
1503626413000,6.7;7.0;7.6
1503630013000,6.7;7.0;7.6
1503633613000,6.7;7.0;7.6
1503637213000,6.7;7.1;7.6
1503640813000,6.7;7.1;7.6
1503644413000,6.7;7.1;7.6
1503648013000,6.7;7.1;7.6
1503651613000,6.7;7.2;7.6
1503655213000,6.7;7.2;7.6
1503658813000,6.7;7.2;7.6
1503662413000,6.7;7.3;7.6
1503666013000,6.7;7.3;7.6
1503669613000,6.7;7.2;7.6
1503673213000,6.7;7.2;7.6
1503676813000,6.7;7.1;7.6
1503680413000,6.7;7.0;7.6
1503684013000,6.7;7.1;7.6
